recurso,lugar,titulo,fecha
http://bnb.data.bl.uk/id/resource/019800347,http://sws.geonames.org/6252001/,Exemplary stories,2020-05
http://bnb.data.bl.uk/id/resource/018557368,http://sws.geonames.org/6252001/,The history and adventures of the renowned Don Quixote,2017-10
http://bnb.data.bl.uk/id/resource/019553770,http://sws.geonames.org/6252001/,The complete Don Quixote of La Mancha,2019-09
http://bnb.data.bl.uk/id/resource/019559061,http://sws.geonames.org/6269131/,Don Quixote,2019-10
http://bnb.data.bl.uk/id/resource/014926909,http://sws.geonames.org/6252001/,Don Quixote,2009-05
http://bnb.data.bl.uk/id/resource/018299510,http://sws.geonames.org/6252001/,Don Quixote,2017-04
http://bnb.data.bl.uk/id/resource/018812620,http://sws.geonames.org/6252001/,Don Quixote,2018-04
http://bnb.data.bl.uk/id/resource/018861452,http://sws.geonames.org/6269131/,Don Quixote,2018-07
http://bnb.data.bl.uk/id/resource/018419681,http://sws.geonames.org/6269131/,Don Quixote,2017-09
http://bnb.data.bl.uk/id/resource/020025106,http://sws.geonames.org/6252001/,Don Quixote,2020-11
http://bnb.data.bl.uk/id/resource/018717214,http://sws.geonames.org/6252001/,The complete exemplary novels,2018-03
