titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
14 routen um Manacor,Manacor,Vierzehn routen um Manacor,1 mapa,"Ajuntament de Manacor, Delegació de Turisme",Excursionismo -- Mapas -- Manacor,Incluye fotografías,col.
14 routes in Manacor,Manacor,Fourteen routes in Manacor,1 mapa,"Ajuntament de Manacor, Delegació de Turisme",Excursionismo -- Mapas -- Manacor,Incluye fotografías,col.
14 rutas por Manacor,Manacor,Catorce rutas por Manacor,1 mapa,"Ajuntament de Manacor, Delegació de Turisme",Excursionismo -- Mapas -- Manacor,Incluye fotografías,col.
14 rutes per Manacor,Manacor,Quatorze rutes per Manacor,1 mapa,"Ajuntament de Manacor, Delegació de Turisme",Excursionismo -- Mapas -- Manacor,Incluye fotografías,col.
A Coruña,Turismo de Galicia,,1 plano,Turismo de Galicia,,"Al verso: Información y localización en el plano de monumentos, edificios y lugares de interés turístico",col.
A Coruña,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
A Rúa de Valdeorras,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Acampos del Conde,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Acércate a Zas,La Coruña (Provincia),,1 mapa,Deputación da Coruña,,Inserta: Mapas de localización en Galicia y España; explicación de la situación geográfica y los accesos desde A Coruña y Santiago de Compostela,col.
Achégate a Zas,La Coruña (Provincia),,1 mapa,Deputación da Coruña,,Inserta: Mapas de localización en Galicia y España; explicación de la situación geográfica y los accesos desde A Coruña y Santiago de Compostela,col.
Adamuz,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Ademuz,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
África política,Editorial Teide,,1 mapa,,,,col.
Aiguafreda : Vall del Congost,SR Mapes,,1 plano,SR Mapes,,"Inserta: Equipamientos, servicios y centros de interés con su localización en el plano",col.
Aigüestortes et le lac de Sant Maurici,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Parque Nacional de Aigüestortes y Lago de Sant Maurici,,col.
Alaior : Dies de flors,Alaior,,1 plano,Ajuntament d'Alaior,Bares -- Planos -- Alaior,Inserta: Relación de montajes florales localizados en el plano; relación de la ruta de tapas con la localización en el plano de los locales participantes y sus tapas,col.
La Albuera,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
"Alcanar, Alcanar Platja, Les Cases de Alcanar",SR Mapes,,3 planos,SR Mapes,Comercios -- Planos -- Alcanar,"Inserta: Relación de equipamientos y servicios, con su localización en los planos",col.
Alcántara,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Alcantarilla,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Alcúdia,Alcudia,,1 plano,Ajuntament d'Alcúdia,,Inserta: Información general del centro histórico; lugares de interés y alojamientos turísticos con su localización en el plano; teléfonos de interés; fotografías,col.
Aldeamayor de San Martín,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
